1,Team Unlimited
207,Critical Mass
2753,Team Overdrive
3032,Hyperion
3981,The Griffins
4106,Supposable Thumbs
4347,NanoGurus
4924,Tuxedo Pandas
5477,Innovo
5501,USS Enterprise
6040,Canton Robodogs
6217,The Fellowship
6549,Whoa!Bots
7026,JDroids
7182,Mechanical Paradox Cubed
7350,Watt's NXT?
7468,Blue Chariots of Fire
8297,Geared UP
8644,The Brainstormers
8699,League of Extraordinary Robotocists
9242,GearHounds
9372,Standard Model
9620,The ROUS's (Robots of Unusual Size)
9794,Wizards.exe
9872,(In)Formal Logic
9927,The MidKnight Nova
10030,7 Sigma Robotics 
10582,Emerald Knights
11115,Gluten Free
11180,Beaks N Bolts
11362,MCubed
11754,EnergySmart
12377,Hopkins Robotics
12538,eBorg Robotics
12787,foolS TEAM ahead
12970,RoboSmart
